caseid,educ,satjob
989,16,Very Satisfied
990,7,Mod. Satisfied
991,13,Very Satisfied
992,12,Mod. Satisfied
993,14,A Little Dissat
994,11,A Little Dissat
995,8,NA
996,8,Mod. Satisfied
997,14,NA
998,11,NA
999,11,NA
1000,9,NA
1001,10,NA
1002,13,Very Satisfied
1003,8,Very Satisfied
1004,12,Mod. Satisfied
1005,15,NA
1006,12,Mod. Satisfied
1007,12,NA
1008,12,Very Satisfied
1009,12,NA
1010,12,Very Dissatisfied
1011,11,Very Satisfied
1012,12,Mod. Satisfied
1013,11,Very Satisfied
1014,8,Very Satisfied
1015,12,Mod. Satisfied
1016,12,Very Satisfied
1017,12,Very Satisfied
1018,12,Mod. Satisfied
1019,12,NA
1020,12,Mod. Satisfied
1021,11,A Little Dissat
1022,17,A Little Dissat
1023,13,NA
1024,8,Mod. Satisfied
1025,10,NA
1026,12,Mod. Satisfied
1027,12,NA
1028,13,Mod. Satisfied
1029,12,NA
1030,15,Mod. Satisfied
1031,9,Mod. Satisfied
1032,9,Very Satisfied
1033,11,NA
1034,10,Mod. Satisfied
1035,11,Mod. Satisfied
1036,10,A Little Dissat
1037,8,NA
1038,13,NA
1039,13,NA
1040,12,Very Satisfied
1041,12,Mod. Satisfied
1042,10,Mod. Satisfied
1043,12,NA
1044,13,Mod. Satisfied
1045,12,Mod. Satisfied
1046,8,NA
1047,8,NA
1048,12,Mod. Satisfied
1049,15,Very Satisfied
1050,9,NA
1051,5,Very Satisfied
1052,8,Very Satisfied
1053,11,Mod. Satisfied
1054,16,Very Satisfied
1055,16,Very Satisfied
1056,16,Very Satisfied
1057,12,Very Satisfied
1058,14,A Little Dissat
1059,16,Mod. Satisfied
1060,12,Very Satisfied
1061,12,NA
1062,16,Very Satisfied
1063,8,Very Dissatisfied
1064,12,A Little Dissat
1065,13,Mod. Satisfied
1066,13,NA
1067,13,Mod. Satisfied
1068,12,NA
1069,16,Very Satisfied
1070,14,A Little Dissat
1071,12,Mod. Satisfied
1072,8,NA
1073,12,NA
1074,8,NA
1075,11,NA
1076,15,Very Satisfied
1077,12,Very Satisfied
1078,14,Very Satisfied
1079,14,Mod. Satisfied
1080,12,Mod. Satisfied
1081,7,NA
1082,12,NA
1083,18,Mod. Satisfied
1084,12,NA
1085,19,Very Satisfied
1086,17,NA
1087,14,Very Satisfied
1088,16,NA
1089,13,NA
1090,12,NA
1091,16,NA
1092,16,NA
1093,17,NA
1094,18,Very Satisfied
1095,12,NA
1096,16,NA
1097,12,NA
1098,14,Very Satisfied
1099,15,Mod. Satisfied
1100,12,NA
1101,11,Very Satisfied
1102,16,Very Satisfied
1103,12,NA
1104,12,Very Satisfied
1105,11,NA
1106,12,NA
1107,13,Mod. Satisfied
1108,10,Mod. Satisfied
1109,12,Mod. Satisfied
1110,12,NA
1111,11,Mod. Satisfied
1112,12,Very Dissatisfied
1113,12,NA
1114,12,NA
1115,2,NA
1116,8,NA
1117,12,Very Satisfied
1118,6,NA
1119,11,A Little Dissat
1120,6,NA
1121,12,NA
1122,11,NA
1123,10,Mod. Satisfied
1124,10,NA
1125,8,NA
1126,17,NA
1127,12,Very Satisfied
1128,12,Mod. Satisfied
1129,8,NA
1130,12,A Little Dissat
1131,12,Very Dissatisfied
1132,12,NA
1133,5,NA
1134,16,Very Satisfied
1135,12,Mod. Satisfied
1136,12,Very Satisfied
1137,14,Very Satisfied
1138,15,Mod. Satisfied
1139,13,Very Satisfied
1140,12,NA
1141,16,Very Satisfied
1142,12,Mod. Satisfied
1143,15,Very Dissatisfied
1144,14,NA
1145,11,NA
1146,14,Mod. Satisfied
1147,14,Very Satisfied
1148,12,Very Satisfied
1149,15,Very Satisfied
1150,12,Very Satisfied
1151,13,Very Satisfied
1152,16,NA
1153,11,NA
1154,12,NA
1155,17,Mod. Satisfied
1156,19,Mod. Satisfied
1157,11,Very Dissatisfied
1158,17,Mod. Satisfied
1159,12,NA
1160,16,NA
1161,12,NA
1162,17,Very Satisfied
1163,12,NA
1164,16,NA
1165,9,Very Satisfied
1166,0,NA
1167,3,NA
1168,9,NA
1169,4,NA
1170,1,Very Satisfied
1171,3,NA
1172,11,A Little Dissat
1173,15,NA
1174,14,Mod. Satisfied
1175,14,NA
1176,12,Mod. Satisfied
1177,12,NA
1178,16,Very Satisfied
1179,11,NA
1180,11,NA
1181,6,NA
1182,10,A Little Dissat
1183,7,NA
1184,6,NA
1185,8,NA
1186,4,NA
1187,11,Mod. Satisfied
1188,7,NA
1189,11,Very Satisfied
1190,2,NA
1191,12,Mod. Satisfied
1192,5,NA
1193,2,NA
1194,16,Mod. Satisfied
1195,9,NA
1196,6,Very Satisfied
1197,17,A Little Dissat
1198,10,NA
1199,12,Very Satisfied
1200,8,NA
1201,0,NA
1202,16,Very Satisfied
1203,12,NA
1204,12,Mod. Satisfied
1205,4,NA
1206,9,NA
1207,12,A Little Dissat
1208,10,Mod. Satisfied
1209,10,NA
1210,10,NA
1211,7,NA
1212,8,Mod. Satisfied
1213,12,Mod. Satisfied
1214,11,Very Satisfied
1215,5,NA
1216,12,Very Dissatisfied
1217,11,Mod. Satisfied
1218,12,Mod. Satisfied
1219,15,Very Satisfied
1220,13,Very Satisfied
1221,16,Very Satisfied
1222,8,Very Satisfied
1223,14,Very Satisfied
1224,14,Very Satisfied
1225,10,NA
1226,12,NA
1227,13,NA
1228,10,NA
1229,0,Mod. Satisfied
1230,5,NA
1231,9,NA
1232,6,Very Satisfied
1233,14,A Little Dissat
1234,12,Very Satisfied
1235,12,Mod. Satisfied
1236,13,Very Satisfied
1237,17,Very Satisfied
1238,15,Mod. Satisfied
1239,11,NA
1240,12,NA
1241,12,Very Satisfied
1242,12,Very Satisfied
1243,7,Very Satisfied
1244,12,Very Satisfied
1245,10,Very Satisfied
1246,8,Mod. Satisfied
1247,12,Mod. Satisfied
1248,12,Very Satisfied
1249,14,Very Satisfied
1250,16,Mod. Satisfied
1251,14,NA
1252,15,Mod. Satisfied
1253,13,Mod. Satisfied
1254,12,Very Satisfied
1255,16,NA
1256,12,NA
1257,16,Very Satisfied
1258,3,NA
1259,11,Mod. Satisfied
1260,10,NA
1261,0,NA
1262,9,NA
1263,2,NA
1264,7,Mod. Satisfied
1265,12,NA
1266,5,NA
1267,13,Mod. Satisfied
1268,12,NA
1269,12,Mod. Satisfied
1270,10,NA
1271,11,NA
